Task Name,Task Type,Start Time,End Time,Duration,Date
Not Provided,Study,19:35:09,19:35:13,0:00:04,18/08/2024
Completing Day 96 Project,Study,19:53:06,19:53:13,0:00:07,18/08/2024
Not Provided,Study,19:54:23,19:54:26,0:00:03,18/08/2024
Not Provided,Study,19:54:27,19:54:31,0:00:04,18/08/2024
Not Provided,Study,19:54:31,19:54:36,0:00:05,18/08/2024
Not Provided,Study,19:55:07,19:55:16,0:00:09,18/08/2024
Not Provided,Study,19:58:47,19:58:51,0:00:04,18/08/2024
working on day 96,Work,00:26:21,00:26:28,0:00:07,19/08/2024
Not Provided,Study,00:27:26,00:27:28,0:00:02,19/08/2024
Not Provided,Study,00:29:32,00:29:49,0:00:17,19/08/2024
Completing Day 98 Project !,Study,00:44:43,00:45:03,0:00:20,19/08/2024
Completing Day 98 Project !,Study,00:48:40,00:48:59,0:00:18,19/08/2024
